NamID,vent,Akebiconcha.kawamurai,Alvinicaris.marimonte,Alviniconcha.adamantis,Alviniconcha.hessleri,Alvinocaris.brevitelsonis,Alvinocaris.dissimilis,Alvinocaris.longirostris,Amphisamytha.galapagensis,Ashinkailepas.seepiophila,Austinograea.williamsi,Bathyacmaea.tertia,Bathyacmaea.secunda,Bathymodiolus.brevior,Bathymodiolus.aduloides,Bathymodiolus.japonicus,Bathymodiolus.platifrons,Bathymodiolus.septemdierum,Branchinotogluma.burkensis,Branchinotogluma japonicus,Branchinotogluma.marianus,Branchinotogluma.trifurcus,Branchipolynoe.pettiboneae,Archivesica.magnocultellus,Calyptogena.kawamurai,Calyptogena.laubieri,Calyptogena.nankaiensis,Calyptogena.okutanii,Cantrainea.nuda,Cantrainea.jamsteci,Cirrothauma.murrayi,Desbruyeresia.chammaroensis,Desbruyeresia.marianensis,Desbruyeresia.melanioides,Deshayesiella.sirenkoi,Eosipho.desbruyeresi.nipponensis,Eunice.masudai,Eunice.northioidea,Gandalfus.yunohana,Gigantidas.horikoshii,Homalopoma.bicolor,Iheyaspira.lequios,Iheyomytilidicola.tridentatus,Laeviphitus.japonicus,Lamellibrachia.satsuma,Lebbeus.shinkaiae,Lebbeus.washingtonianus,Lepetodrilus.schrolli,Lepetodrilus.japonicus,Lepetodrilus.nux,Lepidonotopodium.minutum,Leptochiton.tenuidontus,Leucolepas.longa,Levensteiniella.raisae,Lurifax.japonicus,Margarites.ryukyuensis,Margarites.shinkai,Marianactis.bythios,Monilea.cocoa,Munidopsis.gracilis,Munidopsis.marianica,Munidopsis.myojinensis,Munidopsis.naginata,Munidopsis.lauensis,Munidopsis.longispinosa,Munidopsis.ryukyuensis,Mytilidiphila.enseiensis,Mytilidiphila.okinawaensis,Neoverruca.brachylepadoformis,Neoverruca.intermedia,Neptunea.acutispiralis,Neptunea.insularis.robusta,Nicomache.ohtai,Oenopota.ogasawarana,Oncaea.venusta,Opaepele.loihi,Pachydermia.cf.sculpta,Paraescarpia.echinospica,Paragiopagurus.ventilatus,Paralomis.multispina,Paralomis.jamsteci,Paralomis.verrilli,Paralvinella.unidentata,Paralvinella.hessleri,Periclimenes.cannaphilus,Phreagena.nankaiensis,Phreagena.okutanii,Phymorhynchus.wareni,Provanna.nassariaeformis,Provanna.clathrata,Provanna.lucida,Provanna.subglabra,Pseudorimula.marianae,Puncturella.rimaizenaensis,Puncturella.parvinobilis,Pyropelta.yamato,Pyropelta.ryukyuensis,Rimicaris.cf.variabilis,Rimicaris.falkorae,Rimicaris.vandoverae,Sericosura.cochleifovea,Shinkai.longipedata,Shinkai.semilonga,Shinkaia.crosnieri,Shinkaicaris.leurokolos,Shinkailepas.kaikatensis,Shinkailepas.myojinensis,Simenchelys.parasitica,Sirsoe.hessleri,Solemya.flava,Stylodactylus.major,Symmetromphalus.regularis,Symphurus.thermophilus,Thermochiton.undocostatus,Thermomya.sulcata,Ventsia.cf.tricarinata,Vulcanolepas.buckeridgei,Xenograpsus novaeinsularis,MGDS_FeatureID lowest in hierarchy,Vent Sites,Activity,Maximum Temperature,Max Temperature Category,Latitude,Longitude,Ocean,Region,National Jurisdiction,Maximum or Single Reported Depth,Minimum Depth,Tectonic setting,Full Spreading Rate (mm/a),Host Rock,Deposit Type,Notes on Vent Field Description,Notes Relevant to Biology,"Year and How Discovered (if active, visual confirmation is listed first)",Discovery References (text),Other References (text),Volcano Number,
Alice Springs Field,AliceSprings,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,Mariana,"Anemone Heaven, Snail Pits","active, confirmed",287,NA,18.2167,144.6833,N. Pacific,Mariana Trough,United States  :  Northern Mariana Islands and Guam,3640,3595,back-arc spreading center,31.6,"MORB, minor BABB","PMS, polymetallic massive sulfides","small vent fields with active sulfide deposits, low-temperature Fe oxide, barite, and silica chimneys, and associated Fe and Mn deposits on an axial volcano; 287 deg C; at south peak: Anemone Heaven low-temperature site at 18 10'N and Snail Pits high-temperature site at 18 11'N; note: this one listing includes three ""fields"" identified in Hessler and Lonsdale (1991)","hairy gastropods, shrimp, brachyuran crabs, barnacles, polychaetes, limpets; species list in Hessler and Lonsdale (1991)",1987 submersible Alvin; 1982 plume only,"[Craig, H. et al. (1987) Hydrothermal vents in the Mariana Trough: results of the first Alvin dives. EOS Trans. AGU 68: 1531 (AGU Fall Meeting abstract)].","(nearby, but not same location) Natland & Hekinian, HYDROTHERMAL ALTERATION OF BASALTS AND SEDIMENTS AT DEEP SEA DRILLING PROJECT SITE 456, MARIANA TROUGH. Initial Reports of the Deep Sea Drilling Project, 60, 759-768, 1982, RR Hessler and JW Martin (1989) Austinograea williamsi, new genus, new species, a hydrothermal vent crab (Decapoda: Bythograeidae) from the Mariana Back-Arc Basin, western Pacific. J Crust Biol. 9, 645–661, CL Van Dover and B. Fry (1989) Stable isotopic compositions of hydrothermal vent organisms. Mar. Bio. 102(2): 257-263, Hessler and Lonsdale (1991) Biogeography of Mariana Trough hydrothermal vent communities. Deep Sea Research Part A 38: 185-199, T. Gamo et al. (1993) Revisits to the mid-Mariana Trough Hydrothermal Site and discovery of new venting in the southern Mariana Region by the Japanese submersible Shinkai 6500. InterRidge News 2(1):11-14, Gamo, T. et al. (1994) Mariana 1992 Diving Surveys by ""Shinkai 6500"" JAMSTEC J. Deep-Sea Res. 10: 153-162 (in Japanese with English abstract), Fryer, Geology of the Mariana Trough, in Backarc Basins: Tectonics and Magmatism, 237-279, 1995, S. Kojima et al. (2001) Phylogeny of Hydrothermal-Vent–Endemic Gastropods Alviniconcha spp. from the Western Pacific Revealed by Mitochondrial DNA Sequences. Biol Bull. 200: 298-304.",NA,643
Bayonnaise Knoll caldera,Bayonnaise,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,IBM,Hakurei ore deposit (= Hakurei site),"active, inferred",NA,NA,31.9667,139.7333,N. Pacific,Izu-Bonin back-arc,Japan,900,700,back-arc spreading center,5.5,dacitic to andesitic caldera with lava dome,NotProvided,"located in SE caldera floor; Tanahashi et al. (2006): ""first discovery of Kuroko-type ore deposit in the Izu-Bonin back-arc rift""; note: spreading rate from primary literature not from Bird (2003); Neptune Minerals Plc, 21 Feb. 2007, applications by Neptune Minerals Japan Kabushiki Kaisha: ""Neptune's applications cover 6 highly prospective areas, including the Hakurei hydrothermal field, discovered by Japanese researchers in 2003 approximately 500km south-southeast of Tokyo. Subsequent research has delineated a complex of sulphide mounds and chimneys covering an area of 700m x 500m, at a water depth of around 900m.""; Honsho et al. (2013): AUV Urashima dives in 2011, ""autonomous underwater vehicle (AUV) surveys of a large-scale hydrothermal deposit called the Hakurei site located in the Bayonnaise knoll caldera of the Izu-Ogasawara island arc""",NotProvided,"2003 temperature anomalies, but camera survey observed inactive vent deposits","[Iizasa, K et al (2004) A first extensive hydrothermal field associated with Kuroko-type deposit in a Silicic Submarine caldera in a Nascent Rift Zone, Izu-Ogasawara (Bonin) arc, Japan. OCEANS'04 MTTS/IEEE: 991-996], [Tomizawa, N et al (2004) Exploration for a hydrothermal sulfide deposit in a submarine caldera, Izu-Ogasawara arc. OCEANS'04 MTTS/IEEE: 997-1003], [Tanahashi, M et al (2006) A large hydrothermal sulfide deposit discovered in the Bayonnaise knoll, Izu-Bonin back-arc rift. Shigen Chishitsu 56: 185-196 (Japanese)], Watanabe, H., pers. comm., 2009: ""Dr. K. Iizasa in AIST conducted a cruise of R/V Natsushima and ROV HyperDolphin""","Tanahashi, M. et al. (2008) Myojin Rift, Izu–Bonin Arc as the Modern Analog of Hokuroku Basin, Northeast Japan: Geotectonic Significance of the New Hydrothermal Deposit in the Back-Arc Rift. Resource Geology 58: 301–312., Honsho, C., et al. (2013) Mapping the Bayonnaise knoll caldera and the Hakurei hydrothermal deposit with autonomous underwater vehicle using side-scan and multi-beam sonars. 2013 IEEE InternationalUnderwater Technology Symposium, doi:10.1109/UT.2013.6519848.",NA,659
Daikoku volcano,Daikoku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mariana,"Bubble Bath, Cauldron, Fish Spa, AA, Bluff, Bottomless Pit, Cactus Flower, Crater Tuff Luck, Fish Crack","active, confirmed",211,NA,21.324,144.194,N. Pacific,Mariana Arc,United States  :  Northern Mariana Islands and Guam,450,350,arc volcano,NA,andesite,NotProvided,"steep-walled, 50-m-wide cylindrical crater on the north flank, about 75 m below the summit, is at least 135 m deep and was observed to emit cloudy hydrothermal fluid; During a NOAA expedition in 2006, scientists observed Cauldron, a convecting, black pool of liquid sulfur with a partly solidified, undulating sulfur crust at a depth of 420 m below the summit of Daikoku, and temperature > 200 C; located within U.S. Marianas Trench Marine National Monument (http://www.fws.gov/marianastrenchmarinemonument/)","extensive biological communities with new species tonguefish, tubeworms, snails, and crabs (NOAA cruise report 2006)",2004 ROV ROPOS; 2003 plume only,"(plume only): Embley, R et al (2004) Explorations of Mariana Arc volcanoes reveal new hydrothermal systems. EOS, Trans. AGU 85(4): 37, 40, (ROV) Chadwick, W. et al. (2004) The Geologic Setting of Hydrothermal Vents at Mariana Arc Submarine Volcanoes: High-Resolution Bathymetry and ROV Observations. American Geophysical Union, Fall Meeting 2004, abstract #V43F-06.","NOAA ""Submarine Ring of Fire"" cruise report (2006): http://oceanexplorer.noaa.gov/explorations/06fire/logs/summary/media/srof06_cruisereport_final.pdf, Embley, RW et al. (2007) Exploring the submarine ring of fire Mariana Arc - Western Pacific. Oceanography 20(4): 68-79.",284137,699
Forecast,Forecast,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Mariana,"Bart, Snail Scrum, Homer, Marge","active, confirmed",210,NA,13.4,143.9166,N. Pacific,Mariana Arc,United States  :  Northern Mariana Islands and Guam,1470,NA,arc volcano,NA,"IAB, BABB, low-K andesite","PMS, polymetallic massive sulfides","E of back-arc spreading center and W of southern Mariana Arc; Gamo et al. suggest this is arc-type not back-arc type like Alice Springs; Hannington et al. (2005) list as arc-backarc volcano; approx. 9 miles/17 km E of spreading axis; small vent field with active sulfide-bearing chimneys on seamount near spreading center, clear smokers, >200 deg C with high pH and alkalinity, barite silicate chimneys","hairy gastropods, shrimp, brachyuran crabs, barnacles, polychaetes, limpets (differ from further north in the Mariana Arc); NOAA cruise report 2006 also suggests fauna differs from Seamount X just 10km away-- i.e. more diversity like back-arc spreading center vs. frontal volcanic arc; Kojima (2002) review says fauna similar between Forecast and Alice Springs",1992 submersible Shinkai 6500,"Gamo, T. et al. (1993) Revisits to the mid-Mariana Trough Hydrothermal Site and discovery of new venting in the southern Mariana Region by the Japanese submersible Shinkai 6500. InterRidge News 2(1): 11-14, Johnson, L., et al. (1993) Hydrothermal deposits and two magma sources for volcanoes near 13°20'N in the Mariana backarc: a view from Shinkai 6500. EOS Trans. AGU Fall Meet. Suppl. 74: 681, Gamo, T. et al. (1994) Mariana 1992 Diving Surveys by ""Shinkai 6500"" JAMSTEC J. Deep-Sea Res. 10: 153-162 (in Japanese with English abstract).","[Hein et al., in Geology and Resource Potential of the Continental Margin of Western North America and Adjacent Ocean Basins, 753-771, 1987], Fryer, in Backarc Basins: Tectonics and Magmatism, 237-279, 1995, S. Kojima et al. (2001) Phylogeny of Hydrothermal-Vent–Endemic Gastropods Alviniconcha spp. from the Western Pacific Revealed by Mitochondrial DNA Sequences. Biol Bull. 200: 298-304, Kojima (2002) Deep-Sea Chemoautosynthesis-Based Communities in the Northwestern Pacific. Journal of Oceanography 58: 343-363.",284220,824
Irabu Knoll,Irabu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,"active, confirmed",150,NA,25.23,124.88,N. Pacific,Okinawa Trough,Japan,1850,1650,back-arc spreading center,43.5,basalt-hosted,LTH,"southern Okinawa Trough; note: S. Petersen distinguishes northern and southwestern volcanoes at eastern end of Yaeyama Graben; Yaeyama Central Graben trends east-west and is located south of Miyako Seamount and north of Miyako Island; Matsumoto et al. (2001): ""The area was surveyed by R/V YOKOSUKA and DSV SHINKAI 6500 in July-August 2000 (Lequios Cruise: Cruise ID=YK00-06 Leg2) after the succession of the previous l'Atalante cruise in 1996 in the SPOT Area (east of Taiwan). ... Two active hydrothermal sites were newly located through 10 dives in the study area. One is located in the SPOT area and the other on the axial zone of the Okinawa Trough off the northern coast of Miyako Island. Maximum temperature was 170.DEG.C. in the former case and 150.DEG.C. in the latter case. Both sites are characterised by active chimneys associated with sulphide deposits and chemosynthetic communities.""; Okino et al. (2015): AUV Urashima dives 181 and 184 in 2014, ""In dive 181 and 184, we confirmed three known hydrothermal vents""","dense actinian assemblage (KATSURA et al., 1986)",2000 submersible Shinkai 6500; 1986 seafloor photos did not confirm activity,"Matsumoto et al. (2001) Volcanic and hydrothermal activities and possible ""segmentation"" of the axial rifting in the westernmost part of the Okinawa Trough. Preliminary results from the YOKOSUKA/SHINKAI 6500 Lequios Cruise. JAMSTEC Journal of Deep Sea Research 19: 95-107, (photos only) [KATSURA T., et al. (1986) Geological and geophysical characteristics of the southwestern Okinawa Trough and adjacent area. Report of Hydrographic Researches, 21, 21-47 (In Japanese with English abstract)].","Okino, K. et al. (2015) Preliminary report of AUV URASHIMA dives at Tarama and Irabu hydrothermal fields. Japan Geosience Union Meeting 2015, abstract SCG64-09.",NA,926
Izena Cauldron,Izena,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,"Jade (includes TBS Chimney), Hakurei (includes Dragon Chimney)","active, confirmed",326,NA,27.2667,127.0833,N. Pacific,Okinawa Trough,Japan,1610,1300,back-arc spreading center,30.1,"basalt, high-K andesite, dacite, rhyolithe","PMS, polymetallic massive sulfides","active sulfide deposits and low-temperature Fe oxide, barite, and silica chimneys in the caldera (100 m x 300 m approx. explored dimensions), black (320 deg C) and clear (220 deg C) smokers with high gas content; liquid CO2; Neptune Minerals Plc, 21 Feb. 2007, applications by Neptune Minerals Japan Kabushiki Kaisha: ""Included in Neptune's application areas is the JADE hydrothermal field, where continuing research since its discovery in 1988 has highlighted extensive occurrences of SMS mineralisation over an area of 1800m by 600m.""; Ishibashi et al. (2015): ""Izena Hole is a rectangular shaped depression about 6 x 3 km"", ""Hakurei field is located at the bottom of the depression of the Izena Hole... depths of 1600-1610 m"", highest temperature 326 C Dragon Chimney at 1600 m, ""Jade field is located at an inside slope of the north-eastern wall of the Izena Hole... depth of 1550-1300 m"", highest temperature 320 C TBS Chimney at 1350 m","galatheid crabs, shrimps, vestimentiferan tubeworms, Bathymodiolus, Calyptogena",1988 submersible Shinkai 2000,Halbach et al. (1989) Probable modern analogue of Kuroko-type massive sulphide deposits in the Okinawa Trough back-arc basin. Nature 338: 496-499.,"Marumo, K. and Hattori, K.H. (1999) Seafloor hydrothermal clay alteration at Jade in the back-arc Okinawa Trough: mineralogy, geochemistry and isotope characteristics. Geochimica et Cosmochimica Acta 63: 2785-2804, Sakai et al. (1990) Venting of Carbon Dioxide-Rich Fluid and Hydrate Formation in Mid-Okinawa Trough Backarc Basin. Science 248: 1093-1096, [Kimura et al. (1989) Study of topography, hydrothermal deposits and animal colonies in the Middle Okinawa Trough hydrothermal areas using the submersible ""SHINKAI 2000"" system. JAMSTEC Deep-Sea Res. 5: 223-244, Ohta (1990) Deep-sea submersible survey of the hydrothermal vent community on the northeastern slope of the lheya Ridge, the Okinawa Trough. JAMSTEC Deep-sea Res., 6: 145-156, Tanaka et al. (1990) Occurrence and distribution of the hydrothermal deposits in the Izena Hole, central Okinawa Trough. JAMSTEC Deep-Sea Res. 6: 11-26, Ishibashi, J., et al. (2015) Hydrothermal Activity in the Okinawa Trough Back-Arc Basin: Geological Background and Hydrothermal Mineralization. pp. 337-359 in Ishibashi, J. et al. (eds) Subseafloor Biosphere Linked to Hydrothermal Systems. Springer. doi:10.1007/978-4-431-54865-2_27.",NA,870
Kagoshima Bay,Kagoshima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Wakamiko Crater (includes Haorimushi and Tagiri),"active, confirmed",200,NA,31.6583,130.8,N. Pacific,Ryukyu Arc,Japan,200,80,arc volcano,NA,rhyolite,LTH; also see Yamanaka et al. (2013),"Coastal Japan (Kyushu Island); Smithsonian Global Volcanism Program profile 282080 Aira: ""Aira caldera in the northern half of Kagoshima Bay contains the post-caldera Sakurajima volcano... smaller Wakamiko caldera was formed during the early Holocene in the NE corner of the Aira caldera""; Haorimushi (tubeworm) low-temperature site at ~80 m depth is on a knoll on E side of Wakamiko crater; Tagiri high-temperature sites at ~200 m depth include chimneys at 31 40.07' N, 130 45.70' E, about 2 km west of position of Haorimushi; Tagiri refers to bubbles noted by fishermen; Yamanaka et al. (2013): ""venting fluid is composed mixture of seawater, meteoric water and magmatic water"", ""chimneys formed mainly talc with small amount of carbonate and anhydrite""; high concentrations of carbon dioxide, methane, and hydrogen sulfide; tectonic setting alternatively listed as ""rifted volcanic arc""","tubeworms (Lamellibrachia satsuma), Solemyidae, polychaetes, galatheids, shrimps",1993 towed TV system (Haorimushi site); 2007 ROV Hyper-dolphin (Tagiri site),"Hashimoto et al., Discovery of vestimentiferan tube-worms in the euphotic zone. Zool. Sci., 10, 1063-1067, 1993.","Maki, T., et al. (2006) Photo Mosaicing of Tagiri Shallow Vent Area by the AUV ""Tri-Dog 1"" using a SLAM based Navigation Scheme. OCEANS 2006, DOI: 10.1109/OCEANS.2006.306941 (note: T. Maki, pers. comm. 2015, this paper from 2006 is referring to the Haorimushi site)., Nakaseama et al. (2008) Fluid-Sediment Interaction in a Marine Shallow-Water Hydrothermal System in the Wakamiko Submarine Crater, South Kyushu, Japan. Resource Geology 58: 289-300., Yamanaka, T. et al. (2013) Shallow submarine hydrothermal activity with significant contribution of magmatic water producing talc chimneys in the Wakamiko Crater of Kagoshima Bay, southern Kyushu, Japan. Journal of Volcanology and Geothermal Research 258, 74–84, doi:10.1016/j.jvolgeores.2013.04.007.",282080,873
Kaikata Seamount,Kaikata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,IBM,KC,"active, confirmed",NA,Low,26.7,141.0833,N. Pacific,Izu-Bonin Arc,Japan,930,460,arc volcano,NA,"IAB, low-K andesite","LTH, vein and diseminated sulfides in altered lavas, Mn crusts","on Shichito-Iwojima Ridge; vein and disseminated pyrite with minor polymetallic sulfides in altered andesite lavas, Mn crusts on flanks of volcano, low temperature (22 C) clear venting, sulfide mineralization, hydrothermal oxide deposits; Urabe et al. (1987): ""This is, to our knowledge, the first discovery of hydrothermal precious and basemetal mineralizations associated with front volcanism in the marine environment.""; Neptune Minerals Plc, 21 Feb. 2007, applications by Neptune Minerals Japan Kabushiki Kaisha: ""Neptune's applications also cover the Myojin and Myojinsho Knolls, and the Suiyo and Kaikata Seamounts, all of which contain known SMS mineralisation.""","Bythograeidae, Mytilidae, Polynoidae, gastropods, barnacles, tonguefish",1988 submersible Shinkai 2000; 1985 dredge only,"[Mitsuzawa et al. (1989) Measurements of water temperature and current around the submarine caldera in the KC Kaikata Seamount. JAMSTEC Deep Sea Res. 5: 47-55 (in Japanese with English abstract)], (dredge only) Urabe, T et al. (1987) Hydrothermal sulfides from a submarine caldera in the Shichito-Iwojima Ridge, northwestern Pacific. Mar Geol 74: 295-299.","Usui & Nishimura, Submersible observations of hydrothermal manganese deposits on the Kaikata Seamount, Izu-Ogasawara (Bonin) Arc, Mar. Geol., 106, 203-216, 1992.",284097,874
Kasuga 2 Seamount,Kasuga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Mariana,"Barnacle Boulders, Crab Slope, Cracked Vent, Flat Bottom, Hairy Mat, Hairy Rock, Mat Ridge, Pinnacle, SW Eels, Whale Rock, Yellow Overlord","active, confirmed",39,NA,21.6,143.6167,N. Pacific,Mariana Arc,United States  :  Northern Mariana Islands and Guam,500,400,arc volcano,NA,basalts to shoshonites,"LTH, Fe oxide, silica, native sulfur deposits","small nontronite chimneys and hydrothermal crusts, various deposits of cemented volcaniclastic sediments with amorphous Fe oxides, silica, native sulfur, minor pyrite, 39 C; Smithsonian Global Volcanism profile 284135, accessed 28 May 2015: ""Active hydrothermal fields are located at the summit, at the base of summit ridges, and on the lower flanks.""","at least three obligate, vent-associated megabenthos species (bythogreid crab, barnacle and tonguefish); new species tonguefish; also tubeworms, bacterial mats",1987 submersible Alvin,"McMurtry et al (1993) Unusual geochemistry of hydrothermal vents on submarine arc volcanoes: Kasuga Seamounts, Northern Mariana Arc. Earth and Planetary Science Letters 114: 517-528.","Fryer, Geology of the Mariana Trough, in Backarc Basins: Tectonics and Magmatism, 237-279, 1995, ed. B. Taylor, Plenum Press, New York, Fujikura, K et al. (1999) Investigation of the Deep-sea Chemosynthetic Ecosystem and Submarine Volcano at the Kasuga 2 and 3 Seamounts in the Northern Mariana Trough, Western Pacific. JAMSTEC Journal of Deep Sea Research 14: 127-138, Embley, R et al (2004) Explorations of Mariana Arc volcanoes reveal new hydrothermal systems. EOS, Trans. AGU 85(4): 37, 40.",284135,878
